name,author,date,stars,title,helpful_yes,helpful_no,text;;;
"Salted Caramel Core,Sweettooth909,2020-01-05,5,I’m OBSESSED with this pint!,3,0,""I decided to try it out although I’m not a huge caramel fan, and the first buy was ok, didn’t like the caramel too much and for some reason that specific pint barely had any brownies! Like there were some on top but from the middle to the bottom? Zilch. Nada. Nothing! It was disappointing. But for some reason, I bought it again and I really do believe it was just that point bcuz the second one was glorious!! I had a big brownie chunk in EVERY bite. Plus the caramel didn’t bother me as much and I took a liking to it. Conclusion: I’m on my fifth pint, of the week and I’m going back to get my daily pint cus I’m kinda sick and need some happiness.""";;;
"Salted Caramel Core,LaTanga71,2018-04-26,3,My favorite...More Caramel Please,5,2,""My caramel core begins to disappear about half way through. I only buy this for the caramel core. The first time I purchased this I was not even aware that there were blonde bits in there. You had me a salted caramel core, well this is the fourth pint that I have purchased and the caramel is plentiful at the top then it begins to get sparse about half way down at 3/4s of the way down its gone. It works out in my husbands favor because he doesn't care for the caramel so he gets to finish my pint while having a full pint of his choice. Please please please, its called salted caramel core for a reason. Let the caramel flow through the core. P.S. You could put a little extra in there, I totally would not mind.""";;;
"Salted Caramel Core,chicago220,2018-01-14,5,Obsessed!!!,24,1,""Why are people complaining about the blonde brownies? If you don’t like blonde brownies, get ice cream with fudge brownies! I LOVE the blonde brownies and cannot get enough of them. This ice cream is by far my favorite. I have driven to multiple stores to try and find it... and when I do, I stock up! I’ve tried other flavors when I can’t find this one, and none of them even come close to making me as happy as this does! I’d say sometimes the caramel to brownie ratio is a little off at times (more brownies please!), but I’ll still always enjoy it nevertheless!""";;;
"Salted Caramel Core,Kassidyk,2020-07-24,1,Worst Ice Cream Ever!,1,5,""This ice cream is worst ice cream I’ve ever tasted. I was beyond excited when I picked it up today and couldn’t wait to get home and try it. First the sweet cream ice cream has no flavour. But that’s fine I could get past that, but the salted caramel core is what’s really wrong. It’s disgusting and so salty it’s actually inedible. I’ve had ice cream before that I have really enjoyed but never to the point where I physically can not stomach it. I love salted caramel but this is just another level. I actually came here to read the reviews and see how others thought of it just in case mine was a bad batch. Never again!""";;;
"Salted Caramel Core,Nikiera,2020-07-23,2,Way Too Salty,3,1,""I bought this last night to go with Louisiana Crunch cake because I was craving that salty and sweet flavor. Unfortunately, I was not thrilled with the salted caramel core of this ice cream. Usually, when you have salted caramel, the salt enhances the flavor of the caramel. The salt in this core OVERWHELMED everything, even the cake. It was disappointing to not enjoy my dessert and I doubt I'll be finishing this pint of ice cream, which is a shame because you should never have to throw away ice cream.""";;;
"Salted Caramel Core,Mmelvin,2017-05-28,3,""Love this flavor, but..."",3,3,""This is definitely my favorite flavor, but recently, it does not have enough blonde brownie chunks. I'll go through at least half of the pint with just 1 or 2 chunks. It looks like plain ice cream with a salted caramel core. This has happened a lot lately, and it's so dissapointing. I've gotten to the point where I simply stopped buying it. Today, purchased two because they were on sale. It started the way it should be, with plenty of yummy chunks. Before I even got halfway as I was serving myself, no more chunks. After some digging around, I found 3 more way at the bottom. Please fix this! I love this ice cream, but it's pointless without the chunks.""";;;
"Salted Caramel Core,Shay10,2017-07-02,3,Really Wanted To Love This,4,1,""I am not a chocolate person at all, and this was my very first time trying Ben & Jerry's, (Shame on me I'm 23 lol) so I was so excited to find a Caramel Ice Cream with BLONDE Brownie chunks instead of fudge. I really wanted to like this ice cream but I just couldn't. The Salted Caramel is a little too salty, In fact, I couldn't even eat the core, I just ate around it. I didn't really like the Sweet Cream Ice Cream, it didn't really have a taste to me, (Maybe Vanilla would be better). The only thing I loved about this Ice Cream were the Blonde Brownie Chunks, They were so delicious! I would love for this Ice Cream Recipe to be worked on, maybe I'll give it a try again in the future.""";;;
Salted Caramel Core,RosaT777,2019-02-12,3,Salted Caramel core had NO CARAMEL,1,1,I love all the Ben & Jerry’s flavor. But recently I been so disappointed of my favorite flavor salted core caramel. It has no core;;;
Salted Caramel Core,Realeyes,2019-06-02,2,Caramel ended 1/2 way through,0,1,The ice cream really didn’t taste like anything significant and then the caramel which carried the whole dessert ended half way through the cup :( very disappointed!;;;
Salted Caramel Core,Nicole V,2019-08-23,1,Core went about an inch into the pint,0,2,The core was absolutely delicious for about a scoop of icecream. Then there was no core for the entire rest of the pint. Huge disappointment.;;;
"Salted Caramel Core,deva,2018-02-15,3,good on top...not so good the further down you get,3,2,""I've seen this flavor multiple times at the grocery store the past few months and been tempted, finally pulled the trigger last week.""";;;
Salted Caramel Core,BJBLU,2019-09-03,3,Why aren’t the brownie bits chewy?,0,1,Hello. I just bought my 4th and 5th pints of salted caramel core while awaiting Hurricane Dorian to arrive. I will have to say that my son and I greatly enjoyed the first 3. Plenty of salty caramel (yum) and plenty of brownie bits that were chewy to the bite. However these last 2 pints that I just purchased do have plenty of caramel and brownie bits but they aren’t chewy. They are more crumbly to the bite. I’m not sure if the first 3 were a fluke or these last 2 weren’t right. Is the brownie supposed to be chewy or crumbly? These last 2 were disappointing for us and makes me question whether we should buy this kind again.;;;
"Salted Caramel Core,Buffaloed,2020-06-24,5,No Regrets!,0,0,""So it's the middle of June and I made an impromptu decision to get a small thing of ice cream during my shopping trip. I initially was thinking of going for a strawberry or peach flavor, but then I saw this pint and had a double take. I'd never try this flavor prior and man, I do not regret it. I love this pint. I love sweet cream and blonde brownie so this was a win-win. I like how to salted caramel is in the center so I have the ability to control how much I want in each bite. I do agree that the salted caramel is a bit on the salty side, but like I said, I have the control to put as little as I want in my scoop.""";;;
"Salted Caramel Core,Calla,2018-03-15,5,Perfection!,1,1,""I'll be completely honest, I'm not generally a fan of caramel (it's just too sweet for me) but I gave this flavor a shot because of the sweet cream ice cream. As it turns out, the saltiness of the caramel core perfectly balances out the sweetness! I was pleasantly surprised by how much I enjoyed the salted caramel core. The blonde brownie chunks were also a nice touch and not too overwhelming. I feel like the ratio of mix ins to chunks was nicely balanced.""";;;
Salted Caramel Core,April DD,2020-03-07,5,Wow just wow,0,0,Okay I was expecting an almost too salty weirdly over sweet ice cream but man was I wrong!!! No seriously!!! I started eating this ice cream and was transported to the first time I had gooey caramel pop corn... the ice cream was like eating sweet corn creamy and smooth and the chewy bits supposed to be brownie tasted like caramel pop corn that had gotten chewy and sweet soaked in ice cream.. then the salty caramel center was too good to even say but together the best caramel pop corn ice cream I have ever had.. even though I don’t know if that’s what they were going for lol.. my favorite flavor so far;;;
"Salted Caramel Core,FuzzyGut,2018-06-29,4,""So good, but..."",2,1,""This was my 1st pint of Salted Caramel Core but not my first Ben and Jerry’s Core pint. My first impression was that my core was HUGE! It was literally overflowing when I opened the pint! Wow! And the caramel itself was delicious";" salty sweet and gooey! The sweet cream ice cream was very rich and cut through the sweet of the core nicely. My only issue was the blonde brownie bits. It’s not that they weren’t plentiful, I just really didn’t like the taste of them, which is sad because the rest of the pint was KILLER! The chocolate brownies in the other flavors are amazingly good so I was disappointed that these blonde ones weren’t very good and I ate around them. So, all in all, it was a good pint with amazing caramel, good ice cream and funky brownies.""";;
Salted Caramel Core,jordan3896,2019-03-03,2,Too much,0,2,I love carmel so much and as soon as I saw carmel core I grabbed it off the shelf. The carmel tastes great and I love the ice cream and blonde brownie pieces in it!!! The only thing that is wrong with it is how much carmel they gave me. It was 3/4 carmel and 1/4 ice cream. It wasn’t a good balance and I probably won’t get it again.;;;
"Salted Caramel Core,CollegeGal,2019-04-14,5,My Favorite Flavor- One of a Kind,1,1,""I always wanted a flavor of ice cream that was tailored to the way my taste buds worked. Most ice cream flavors from other companies that have cookie dough in it is chocolate based, but Ben & Jerry’s has cornered the market: this cookie dough is caramel and butter and cookie based (or blondie if that’s the correct term)! I’ve been buying it almost every weekend at college for a year! Please keep this flavor, it makes me so happy. The fact that there’s a cookie dough flavor that is chocolate free is one of a kind and not many ice companies make that!""";;;
Salted Caramel Core,Margot,2020-04-19,1,Core more like pencil line,0,1,I was so excited to try the “core” pints. The picture they show online makes it look like a decent size and width. The reality: the core of my salted caramel pint was the width of a pencil eraser tip. Incredibly disappointing and 100% not as advertised. I feel duped.;;;
"Salted Caramel Core,ne26,2018-06-19,3,Core-full?,0,1,""I bought this on sale and was excited to try it. While the ice cream is light and blondies are a nice treat, I wish there was more of a salted caramel core. Mine did not go down even halfway, which is a pity because I love salted caramel.""";;;
Salted Caramel Core,Rileyhd,2017-10-14,2,Not terrible,0,2,I had to buy this to since they were all out of mint at the store...lots of Carmel Core which was a plus but no blondie chunks!!! Any were so tiny...very disappointed because Ben and jerrys rocks!!;;;
Salted Caramel Core,Pasz,2017-08-15,3,Why,0,2,I love this but where did my core go??????????????;;;
